id,area_m2,rooms,kitchen_m2,floor,floors_total,district,condition,distance_to_center_km,metro_min,metro_h,house_age,has_balcony,ceiling_height,views_30d,listing_month,price_mln
40,77.7,3,14.1,16,21,спальный,среднее,15.0,13.0,0.2167,41,1,2.5,25,июнь,10.73
41,60.4,2,10.5,3,7,спальный,хорошее,9.6,,,26,1,2.49,49,февраль,9.33
42,26.2,1,7.3,1,10,центр,хорошее,2.7,7.0,0.1167,14,1,2.69,33,февраль,8.84
43,73.1,3,15.7,13,18,новостройки,евроремонт,8.7,4.9,0.0817,11,1,2.71,89,июнь,13.91
44,28.9,1,10.5,2,7,Xцентр,евроремонт,O,9.4,0.1567,24,1,2.45,162,январь,10.87
45,80.5,3,12.7,5,19,Wцентр,хорошее,5.6,3.0,0.05,49,1,2.98,83,май,16.49
46,45.9,1,9.6,18,23,спальный,среднее,5.0,6.9,0.115,8,1,2.61,18,май,8.6
47,78.8,3,17.8,8,8,спальный,евроремонт,7.5,,,23,1,2.6,62,май,14.64
48,24.0,1,7.2,5,8,спальный,хорошее,11.0,6.0,0.1,2,0,2.84,295,январь,6.94
49,61.9,2,14.6,3,8,спальный,хорошее,16.2,14.4,0.24,22,1,2.87,34,июнь,10.6
50,86.9,3,17.8,5,7,спальный,хорошее,12.8,12.4,0.2067,52,0,2.57,166,апрель,12.4
51,79.6,3,15.1,12,12,спальный,среднее,14.6,14.7,0.245,54,0,2.62,217,июнь,11.09
52,68.1,3,12.8,9,12,спальный,евроремонт,10.0,13.3,0.2217,23,1,3.26,86,февраль,12.04
53,80.0,3,16.1,3,19,спальный,среднее,8.6,,,9,1,2.77,109,февраль,12.95
54,47.0,1,9.6,1,23,Bновостройки,хорошее,12.2,6.4,0.1067,0,0,2.77,9,июнь,8.91
55,90.8,4,16.0,7,23,новостройки,среднее,8.1,8.9,0.1483,65,0,2.45,28,март,12.76
56,58.8,2,10.5,1,9,спальный,хорошее,5.2,9.7,0.1617,30,1,2.54,26,июнь,10.23
57,72.5,3,16.8,2,18,спальный,среднее,9.5,,,12,1,2.89,37,март,10.36
58,50.4,2,11.6,6,14,спальный,хорошее,5.0,8.6,0.1433,50,1,2.57,28,февраль,8.74
59,40.7,1,13.2,7,19,спальный,хорошее,13.8,15.2,0.2533,20,1,2.58,40,январь,7.43
60,82.4,3,16.8,8,10,спальный,требует ремонта,3.6,9.5,-3.3916,48,1,2.63,27,июнь,11.57
61,52.3,2,12.9,8,9,Aновостройки,хорошее,15.4,16.6,0.2767,30,0,2.45,98,апрель,7.76
62,44.1,1,14.2,5,9,спальный,требует ремонта,12.1,8.8,0.1467,7,0,2.69,41,март,6.12
63,56.0,2,11.8,5,10,Aцентр,среднее,3.4,14.4,0.24,5,0,2.45,72,июнь,11.41
64,83.1,3,16.6,3,9,пригород,хорошее,19.1,,,41,0,2.95,55,март,9.9
65,47.7,1,11.2,3,7,спальный,евроремонт,9.8,,,32,1,2.7,95,февраль,8.12
66,96.3,4,16.8,7,13,центр,хорошее,4.0,14.6,0.2433,17,1,2.68,74,январь,18.05
67,86.8,3,17.7,7,11,центр,среднее,4.7,2.8,0.0467,40,0,2.45,56,февраль,14.61
68,50.2,2,12.0,5,14,спальный,среднее,5.7,12.6,0.21,18,1,2.65,40,январь,8.55
69,85.9,3,19.3,16,16,новостройки,среднее,12.8,11.6,0.1933,22,1,2.52,272,май,13.93
70,75.8,3,16.3,7,8,спальный,евроремонт,9.4,9.5,0.1583,0,0,2.62,66,март,12.72
71,96.3,4,21.0,14,18,пригород,среднее,21.3,,,15,0,2.45,26,февраль,12.42
72,84.5,4,16.0,1,10,новостройки,требует ремонта,15.8,15.8,0.2633,33,0,2.49,30,январь,10.67
73,41.7,1,9.8,1,12,Oцентр,хорошее,O,6.5,0.1083,19,1,2.78,31,март,10.31
74,74.0,3,17.1,14,17,центр,среднее,5.2,12.7,0.2117,28,1,2.74,36,февраль,15.23
75,75.5,3,17.2,1,6,спальный,среднее,14.9,3.2,0.0533,44,1,2.59,54,март,10.9
76,61.6,3,15.4,5,11,спальный,хорошее,7.0,7.3,0.1217,8,1,2.97,55,апрель,12.15
77,54.4,1,15.7,11,13,Jцентр,хорошее,3.3,6.4,0.1067,34,1,2.53,65,январь,12.84
78,59.6,2,13.1,17,17,спальный,среднее,10.4,14.7,0.245,50,0,2.51,48,апрель,8.8
79,54.9,1,12.1,14,19,спальный,среднее,7.7,16.3,0.2717,15,1,2.54,46,май,9.91
80,63.4,3,12.3,2,16,спальный,среднее,13.2,11.9,0.1983,5,1,2.56,168,январь,12.25
81,66.1,3,12.9,2,19,спальный,среднее,17.8,17.2,25.0713,34,0,2.66,25,апрель,9.32
82,86.2,3,18.3,1,11,спальный,требует ремонта,7.9,11.6,0.1933,41,1,2.46,81,февраль,11.61
83,81.7,4,18.5,3,5,спальный,требует ремонта,9.4,14.9,0.2483,15,1,2.56,49,февраль,13.06
84,66.2,2,15.8,2,15,пригород,среднее,21.4,,,19,0,2.96,26,июнь,7.45
85,43.6,1,10.0,3,25,центр,требует ремонта,2.4,7.7,0.1283,9,0,2.56,126,апрель,9.98
86,48.4,2,11.0,10,23,новостройки,требует ремонта,9.9,8.0,0.1333,31,0,2.71,84,январь,7.09
87,108.7,4,18.2,3,7,спальный,хорошее,9.8,8.0,0.1333,34,0,2.6,36,май,17.54
88,82.0,3,19.9,12,25,центр,хорошее,1.9,8.9,0.1483,4,0,3.08,122,май,17.97
89,67.4,3,14.3,15,17,новостройки,хорошее,15.0,9.6,0.16,24,1,2.54,31,апрель,11.43
90,64.2,3,11.9,5,6,спальный,среднее,12.4,,,27,1,2.55,46,февраль,10.46
91,41.7,1,11.2,4,11,спальный,среднее,4.6,,,28,1,2.7,22,май,6.78
92,89.0,3,14.6,5,22,спальный,среднее,6.7,7.6,0.1267,28,0,2.45,25,май,14.29
93,58.5,2,19.5,9,11,спальный,среднее,13.6,18.2,0.3033,9,1,3.19,62,май,11.01
94,93.1,4,15.3,3,6,спальный,хорошее,11.2,,,42,0,2.45,17,апрель,12.97
95,53.0,1,11.5,3,9,центр,среднее,O,6.3,0.105,45,1,2.45,115,февраль,12.35
96,58.5,2,13.1,3,19,спальный,среднее,7.1,11.0,0.1833,21,1,2.6,82,май,11.0
97,72.9,3,16.6,3,8,спальный,среднее,5.1,,,33,0,2.75,27,май,12.47
98,50.4,2,13.8,12,12,Hновостройки,хорошее,14.9,13.4,0.2233,23,0,2.45,126,январь,7.82
99,77.8,3,17.8,14,24,спальный,среднее,7.5,10.6,0.1767,54,1,2.98,216,апрель,12.14
100,51.4,2,14.6,1,11,спальный,хорошее,6.0,8.5,0.1417,35,0,2.7,32,февраль,8.91
101,101.2,4,17.9,9,20,спальный,требует ремонта,12.0,7.5,0.125,53,0,2.87,22,январь,12.57
102,68.6,3,16.6,5,11,Gспальный,хорошее,11.8,8.6,0.1433,3,1,2.67,189,апрель,11.74
103,68.9,2,13.2,1,6,спальный,евроремонт,12.8,13.2,0.22,51,1,2.48,37,май,9.95
104,61.7,2,15.2,4,5,новостройки,требует ремонта,19.4,10.1,0.1683,11,1,2.59,22,май,7.44
105,52.2,1,13.3,17,22,центр,среднее,0.5,2.5,0.0417,12,0,2.67,148,январь,13.22
106,54.5,2,13.5,1,5,спальный,среднее,13.5,12.0,0.2,0,1,2.85,17,апрель,10.22
107,46.7,2,15.1,5,21,спальный,среднее,7.1,11.7,0.195,66,0,2.58,109,январь,6.79
108,38.9,1,6.9,4,7,новостройки,среднее,18.3,,,41,0,2.6,16,май,4.52
109,76.6,3,16.0,2,6,Cспальный,среднее,7.1,,,19,0,3.1,49,март,12.96
110,59.6,2,11.3,6,6,спальный,хорошее,10.8,14.0,0.2333,11,1,2.48,141,июнь,9.37
111,43.9,1,7.8,5,6,центр,среднее,O,,,23,0,2.45,148,январь,8.21
112,40.6,1,12.1,7,19,Hновостройки,хорошее,17.3,7.9,0.1317,50,0,2.59,58,январь,6.06
113,101.4,4,16.3,8,17,пригород,среднее,20.7,,,56,0,2.92,7,июнь,11.46
114,61.1,2,14.9,19,22,Oспальный,требует ремонта,13.2,7.3,0.1217,45,1,2.7,60,февраль,8.9
115,70.5,2,13.2,7,9,центр,среднее,1.9,6.3,0.105,27,0,2.73,32,апрель,12.91
116,82.2,3,17.6,5,10,новостройки,хорошее,10.9,,,42,0,3.13,39,июнь,12.62
117,29.1,1,8.7,1,6,центр,хорошее,O,7.4,0.1233,5,1,2.65,70,май,10.96
118,60.2,2,13.2,9,9,центр,хорошее,5.4,12.7,0.2117,10,0,2.74,76,март,11.73
119,58.0,2,13.5,2,5,новостройки,евроремонт,12.7,,,32,1,2.45,27,январь,11.2
120,61.7,2,13.0,6,9,пригород,евроремонт,25.8,,,41,0,2.66,15,март,7.02
121,49.5,2,11.6,7,10,центр,среднее,4.8,7.3,0.1217,26,0,2.62,21,июнь,10.32
122,103.7,4,21.1,12,20,новостройки,требует ремонта,12.9,14.4,0.24,23,1,2.86,30,март,14.33
123,51.8,1,16.0,12,22,пригород,хорошее,24.6,,,57,1,2.79,20,апрель,5.19
124,55.7,2,10.8,10,10,центр,требует ремонта,0.0,,,0,1,2.78,126,июнь,10.81
125,63.5,2,11.8,17,19,новостройки,евроремонт,14.1,,,43,0,2.81,34,май,10.01
126,113.0,4,15.3,21,21,новостройки,требует ремонта,16.3,15.3,0.255,4,1,3.07,158,июнь,15.93
127,39.0,1,10.9,8,23,пригород,среднее,21.3,15.7,0.2617,23,1,2.56,136,май,4.42
128,69.2,3,17.5,2,23,пригород,хорошее,23.2,11.0,0.1833,38,0,2.55,89,май,9.97
129,82.1,3,19.3,6,12,новостройки,среднее,13.1,14.0,0.2333,45,1,2.5,37,январь,12.09
130,66.6,2,11.2,18,19,Kновостройки,хорошее,11.6,15.5,0.2583,49,1,2.51,25,апрель,10.25
131,96.1,4,15.2,1,15,спальный,среднее,7.2,10.3,0.1717,6,1,2.55,31,январь,15.67
132,101.3,4,22.0,4,5,новостройки,хорошее,15.9,7.5,0.125,0,1,2.45,27,январь,17.5
133,79.1,4,16.4,22,22,спальный,среднее,12.1,9.7,0.1617,35,0,2.51,76,июнь,10.88
134,78.7,4,15.6,1,5,спальный,среднее,11.0,,,10,1,2.45,62,январь,10.81
135,33.5,2,6.6,5,24,спальный,хорошее,13.0,5.7,0.095,19,1,2.76,48,март,7.47
136,40.8,1,15.1,6,6,Qцентр,хорошее,O,7.2,0.12,54,1,2.8,245,февраль,11.1
137,66.2,3,14.8,5,23,спальный,среднее,10.6,15.2,0.2533,24,1,2.45,35,июнь,11.02
138,51.0,1,13.6,16,21,новостройки,среднее,12.2,,,39,0,2.7,61,июнь,8.58
139,63.6,2,12.9,7,19,Xновостройки,среднее,15.1,11.1,-3.6927,26,0,2.58,100,июнь,10.62
140,69.6,2,12.1,9,9,спальный,требует ремонта,11.7,16.3,0.2717,35,1,2.88,81,май,10.22
141,67.7,2,14.5,7,11,спальный,среднее,15.3,9.9,0.165,0,0,3.01,234,январь,11.1
142,42.4,1,10.5,2,12,спальный,хорошее,6.7,14.3,0.2383,39,1,2.89,70,январь,9.61
143,77.4,3,15.8,9,15,Yспальный,требует ремонта,5.7,8.4,0.14,33,0,2.45,86,январь,11.08
144,89.8,4,16.8,12,14,центр,среднее,0.0,9.9,0.165,50,1,2.47,29,июнь,15.47
145,65.4,3,11.5,16,20,спальный,среднее,8.8,,,53,1,2.76,27,июнь,10.06
146,103.1,5,17.8,6,12,Yспальный,требует ремонта,16.1,13.6,0.2267,25,0,2.7,23,июнь,14.18
147,127.9,5,17.3,8,25,спальный,среднее,7.9,16.5,0.275,10,0,3.07,72,июнь,19.3
148,55.5,1,11.7,3,15,новостройки,среднее,14.5,14.2,0.2367,11,0,2.59,37,февраль,10.17
149,53.2,2,13.9,9,10,спальный,требует ремонта,9.9,11.2,0.1867,23,1,2.68,33,май,6.7
150,75.6,3,17.0,3,17,спальный,среднее,8.4,4.9,0.0817,14,1,2.46,21,май,13.01
151,40.4,1,7.4,16,17,новостройки,среднее,17.6,14.7,0.245,38,0,2.97,108,февраль,6.61
152,118.9,5,20.7,8,11,новостройки,требует ремонта,13.4,,,7,0,2.67,34,июнь,16.22
153,56.7,2,10.6,5,5,спальный,среднее,7.1,10.2,-3.4579,0,1,2.93,67,июнь,10.33
154,91.1,3,19.3,8,15,спальный,хорошее,4.9,3.6,0.06,33,1,2.45,19,июнь,15.56
155,47.1,1,11.2,21,23,спальный,евроремонт,8.8,19.5,0.325,29,1,2.77,73,июнь,8.56
156,52.7,2,14.9,2,5,новостройки,требует ремонта,14.4,10.4,0.1733,9,0,2.81,93,март,7.32
157,80.6,4,15.7,5,8,новостройки,требует ремонта,18.1,21.0,25.0318,3,1,2.77,118,февраль,10.82
158,34.2,1,9.9,4,15,Fспальный,хорошее,11.O,8.4,0.14,17,0,3.02,37,май,8.39
159,30.6,1,8.5,8,21,новостройки,хорошее,10.8,,,14,0,2.48,35,январь,6.53
160,80.1,3,14.7,5,14,новостройки,среднее,1O.8,7.5,0.125,31,0,2.83,71,февраль,12.86
161,56.9,1,12.7,2,18,центр,евроремонт,1.4,6.6,0.11,19,1,2.81,27,март,15.11
162,84.8,3,17.2,11,15,пригород,среднее,20.8,14.9,0.2483,22,1,2.67,60,январь,11.81
163,68.7,2,10.6,5,8,спальный,евроремонт,9.2,7.6,0.1267,24,0,2.45,124,февраль,12.67
164,113.7,5,16.6,1,5,центр,евроремонт,0.0,12.9,0.215,43,0,2.51,39,июнь,20.53
165,57.9,2,14.4,5,11,спальный,требует ремонта,7.7,,,5,1,2.7,17,март,8.89
166,66.1,3,10.7,4,7,Qспальный,хорошее,11.6,11.9,0.1983,18,0,2.59,41,март,12.13
167,36.5,1,10.3,3,12,центр,среднее,0.0,19.7,0.3283,9,0,2.45,58,январь,9.66
168,95.6,5,14.8,5,20,спальный,среднее,10.7,9.1,-2.8407,31,0,2.45,90,январь,14.89
169,61.6,2,12.1,12,22,центр,хорошее,2.3,,,15,1,2.64,66,январь,14.19
170,94.3,4,19.9,11,18,пригород,евроремонт,15.O,,,22,1,2.83,55,март,14.9
171,88.3,4,19.1,14,14,центр,среднее,5.9,10.9,0.1817,11,1,2.67,237,май,17.56
172,48.7,1,14.8,6,20,пригород,хорошее,23.7,,,29,0,2.61,332,июнь,6.29
173,41.7,1,10.4,2,5,спальный,среднее,10.5,11.9,0.1983,29,1,2.66,24,июнь,7.08
174,30.9,1,8.1,14,18,центр,хорошее,0.0,8.1,0.135,29,1,2.76,57,март,10.87
175,24.5,1,5.3,3,7,новостройки,хорошее,17.6,13.1,13.1,10,1,2.53,73,март,5.95
176,62.5,3,16.4,6,13,пригород,среднее,24.0,,,17,0,2.69,78,февраль,6.67
177,61.1,3,14.8,16,23,спальный,среднее,9.7,,,26,1,2.45,136,апрель,9.73
178,69.0,2,12.2,5,7,спальный,среднее,12.2,16.8,0.28,0,1,2.56,57,апрель,9.7
179,64.2,3,12.2,1,10,спальный,среднее,11.0,7.7,20.99,14,1,2.74,108,май,10.87
180,84.1,3,18.9,3,17,центр,среднее,O,16.4,0.2733,6,1,2.85,132,февраль,16.24
181,39.4,1,7.7,2,9,Xновостройки,хорошее,10.4,,,0,1,2.53,18,май,8.15
182,52.8,2,11.0,2,23,центр,хорошее,1.6,4.7,0.0783,47,0,2.58,75,май,11.09
183,82.3,3,14.7,8,24,пригород,среднее,24.4,20.6,0.3433,13,0,2.59,207,март,9.51
184,64.0,3,13.8,7,20,центр,среднее,4.1,11.9,0.1983,10,0,2.88,82,июнь,14.3
185,46.7,1,11.3,15,25,спальный,среднее,5.2,8.9,0.1483,41,0,2.69,60,февраль,8.3
186,46.1,1,9.7,24,25,пригород,хорошее,25.5,,,10,0,2.56,29,март,6.25
187,33.5,1,8.1,3,9,Dспальный,хорошее,9.2,,,10,0,2.78,247,январь,7.92
188,60.4,2,15.7,16,18,новостройки,требует ремонта,15.4,17.8,0.2967,32,0,2.78,32,февраль,7.54
189,63.8,2,14.5,5,21,новостройки,хорошее,14.0,14.8,0.2467,14,0,2.63,136,февраль,11.33
190,50.1,1,11.3,4,6,спальный,среднее,8.8,14.3,0.2383,30,0,2.52,12,март,7.19
191,39.0,1,10.5,7,11,спальный,хорошее,10.6,14.3,0.2383,25,0,2.55,57,январь,6.52
192,58.9,2,15.8,5,5,спальный,хорошее,9.7,10.4,0.1733,43,0,2.45,47,март,9.83
193,81.0,3,13.7,12,15,центр,среднее,0.0,,,48,0,2.74,46,май,16.19
194,39.8,1,8.6,11,19,спальный,хорошее,9.0,11.4,0.19,26,1,2.54,95,январь,8.97
195,71.7,3,14.5,12,18,пригород,требует ремонта,17.6,,,46,0,2.79,24,июнь,7.05
196,51.5,2,11.6,12,12,центр,хорошее,0.0,2.3,8.4163,18,1,2.47,100,март,12.69
197,73.5,3,17.6,1,17,спальный,хорошее,8.8,14.0,0.2333,18,1,2.58,166,январь,12.97
198,78.8,3,16.7,3,5,центр,среднее,O,12.8,0.2133,0,0,2.45,42,март,15.5
199,30.6,1,4.4,5,6,новостройки,евроремонт,10.3,,,21,0,2.45,75,январь,6.37
200,39.7,1,10.6,9,19,Jспальный,евроремонт,7.2,9.1,0.1517,47,0,2.71,262,апрель,8.35
201,41.7,1,10.6,3,15,новостройки,евроремонт,19.4,,,12,1,2.85,149,июнь,9.5
202,53.1,2,10.8,14,20,Gспальный,требует ремонта,6.8,7.1,0.1183,0,1,2.98,46,март,9.21
203,49.8,2,12.3,8,11,центр,хорошее,3.4,,,0,1,3.02,19,февраль,14.18
204,48.8,1,12.0,5,9,пригород,среднее,23.4,16.9,0.2817,42,1,2.7,47,февраль,5.09
205,77.0,3,16.2,17,20,Pспальный,хорошее,12.9,,,18,0,2.51,33,февраль,12.11
206,58.8,2,12.4,8,20,пригород,евроремонт,21.9,15.4,32.5606,23,1,2.56,57,май,9.09
207,71.7,3,16.7,1,8,пригород,среднее,22.3,,,41,0,2.45,179,февраль,6.18
208,47.8,1,9.6,3,10,Gцентр,среднее,0.0,,,38,1,2.45,163,апрель,11.21
209,27.5,1,10.2,7,7,центр,среднее,2.6,9.9,0.165,35,0,2.7,35,январь,7.68
210,52.0,2,11.2,15,23,новостройки,среднее,13.6,8.6,0.1433,49,1,2.67,13,май,9.01
211,62.4,2,11.8,16,18,спальный,среднее,5.7,8.9,0.1483,0,1,2.74,49,июнь,10.33
212,48.9,1,10.8,1,8,спальный,хорошее,9.4,13.0,0.2167,34,1,2.69,71,апрель,8.64
213,74.3,2,10.3,5,6,новостройки,хорошее,12.8,11.5,0.1917,72,1,2.85,71,апрель,11.14
214,109.8,4,21.1,5,5,спальный,хорошее,8.O,8.8,31.7771,33,1,2.5,43,май,17.37
215,108.1,4,17.3,1,19,Iцентр,евроремонт,O,5.9,0.0983,14,1,2.5,74,май,21.1
216,55.6,2,14.3,15,20,Aспальный,среднее,14.0,,,62,0,2.71,40,февраль,7.77
217,104.0,4,17.3,13,16,спальный,требует ремонта,8.4,3.1,0.0517,6,1,2.49,55,апрель,15.47
218,37.5,1,11.5,2,5,спальный,хорошее,7.5,12.9,0.215,9,0,2.6,22,апрель,6.55
219,38.4,1,9.7,3,10,спальный,хорошее,6.0,,,37,0,2.61,448,май,7.15
220,64.5,2,12.1,2,8,спальный,среднее,14.5,18.0,0.3,21,1,2.45,85,апрель,9.24
221,45.9,2,14.7,3,9,пригород,хорошее,25.7,,,33,1,2.6,95,февраль,5.75
222,60.4,2,14.0,4,19,Iновостройки,хорошее,10.1,7.3,0.1217,56,1,2.48,132,июнь,10.49
223,60.8,2,12.2,1,7,спальный,среднее,5.7,12.7,0.2117,39,1,2.78,46,март,8.78
224,93.5,3,15.6,17,18,центр,среднее,2.4,5.8,0.0967,36,1,2.97,52,январь,17.12
225,114.4,5,19.4,15,15,спальный,требует ремонта,7.1,,,4,0,2.91,154,январь,15.58
226,69.4,3,17.5,11,15,спальный,среднее,10.6,,,14,0,2.45,45,январь,9.64
227,51.4,1,11.6,1,21,пригород,евроремонт,19.9,7.2,0.12,43,1,2.45,61,июнь,8.26
228,46.0,1,13.7,10,11,новостройки,хорошее,11.7,,,24,0,2.66,110,февраль,8.94
229,56.2,2,10.2,3,8,Nспальный,среднее,7.2,,,14,0,2.92,86,январь,9.63
230,52.7,2,13.6,7,18,спальный,хорошее,11.9,10.3,36.5364,59,1,2.78,17,апрель,9.77
231,70.0,3,13.5,3,19,пригород,среднее,24.4,,,42,0,2.53,32,февраль,7.62
232,77.2,2,16.2,6,16,новостройки,хорошее,13.3,10.3,0.1717,33,1,2.89,38,май,12.1
233,75.2,1,16.5,10,12,пригород,среднее,20.4,,,25,1,2.46,102,май,8.12
234,60.8,2,12.3,2,13,новостройки,среднее,15.5,12.5,0.2083,27,1,2.66,41,май,9.82
235,83.6,3,18.2,17,23,спальный,среднее,10.0,10.3,0.1717,16,0,2.66,63,январь,11.29
236,53.1,2,10.4,1,5,центр,требует ремонта,1.3,8.4,0.14,38,1,2.63,113,март,11.13
237,96.8,4,18.0,2,11,пригород,требует ремонта,24.4,11.8,28.3446,19,1,2.71,67,март,10.82
238,113.0,4,22.0,3,25,новостройки,среднее,14.3,15.0,0.25,19,0,2.45,47,май,16.73
239,115.5,5,22.2,18,18,Jспальный,среднее,5.3,,,32,1,2.5,15,март,17.53
240,36.8,1,10.5,2,9,центр,среднее,5.2,16.3,0.2717,57,0,2.62,52,май,7.23
241,64.7,2,15.0,9,12,Kспальный,среднее,9.7,11.0,0.1833,29,0,2.6,90,апрель,10.36
242,77.1,3,12.9,15,23,центр,хорошее,O,13.2,0.22,42,0,2.9,24,апрель,14.41
243,84.2,3,12.2,6,14,новостройки,евроремонт,9.5,8.0,0.1333,10,0,2.56,38,май,14.01
244,119.3,5,17.7,9,13,Vспальный,хорошее,10.6,6.6,0.11,41,0,2.57,34,май,17.78
245,95.1,5,14.7,7,9,спальный,среднее,11.0,,,41,0,2.45,133,июнь,14.3
246,68.2,2,13.8,3,5,Zцентр,среднее,0.0,7.8,0.13,3,1,2.86,92,май,14.91
247,53.6,2,13.6,1,5,пригород,среднее,22.5,,,8,1,2.59,39,март,5.96
248,65.9,2,17.5,3,5,пригород,хорошее,14.8,21.1,0.3517,0,0,2.56,48,май,9.76
249,53.6,2,11.4,7,15,Cновостройки,среднее,14.2,12.5,0.2083,14,1,2.45,37,апрель,8.93
250,65.2,2,13.1,2,5,спальный,среднее,1O.3,12.5,0.2083,0,0,2.75,55,июнь,9.98
251,73.6,3,15.1,11,16,новостройки,хорошее,13.2,,,10,1,2.64,22,июнь,13.63
252,96.1,4,15.8,12,19,новостройки,требует ремонта,14.2,,,27,1,2.5,71,апрель,13.64
253,38.1,1,9.6,1,5,спальный,хорошее,10.9,8.0,0.1333,19,0,2.64,46,июнь,6.95
254,67.7,3,17.4,4,20,Mпригород,евроремонт,20.4,,,34,1,2.94,50,январь,9.89
255,91.2,3,16.1,3,14,Vцентр,среднее,2.2,17.4,0.29,61,1,2.58,129,июнь,15.99
256,66.9,2,15.5,4,8,спальный,среднее,13.7,,,23,0,2.45,131,март,9.9
257,63.5,2,15.1,8,12,новостройки,хорошее,12.0,9.9,0.165,12,1,2.56,14,январь,10.68
258,57.7,1,12.3,6,19,новостройки,среднее,15.4,9.6,0.16,7,1,2.45,67,февраль,10.31
259,56.8,2,10.6,10,12,новостройки,хорошее,16.8,8.0,0.1333,10,1,2.54,35,май,10.09
260,63.3,1,8.6,16,19,новостройки,хорошее,7.8,10.0,0.1667,14,1,2.45,47,май,11.39
