order_id;created_at;delivered_at;customer_id;city;category;payment;amount;items
1187;2023-06-28 05:21;2023-07-04 12:38;1112;Новосибирск;Электроника;Наличные;14139;3
100;2024-08-01 21:02;2024-08-05 11:15;1388;Новосибирск;Косметика;СБП;2234;1
849;2023-08-24 01:54;2023-08-28 10:55;1143;Екатеринбург;Одежда;Карта;2891;1
1274;2023-06-23 22:16;2023-06-25 23:49;1314;Москва;Дом;Карта;3730;5
682;2023-04-28 21:43;2023-05-01 15:33;1196;Казань;Книги;Наличные;733;2
408;2024-06-26 16:05;2024-06-30 10:42;1215;Екатеринбург;Книги;Карта;1209;1
57;2024-08-27 04:41;2024-08-29 21:39;1356;Санкт-Петербург;Одежда;Карта;3919;4
1149;2023-10-18 13:50;2023-10-18 18:38;1223;Москва;Электроника;СБП;7651;1
1306;2023-02-04 06:26;2023-02-05 21:14;1182;Санкт-Петербург;Книги;Карта;1252;2
387;2023-09-05 13:27;2023-09-07 22:36;1390;Нижний Новгород;Косметика;Карта;1559;1
937;2024-06-20 04:50;2024-06-23 19:27;1323;Новосибирск;Дом;Наличные;2419;1
277;2024-03-06 06:06;2024-03-07 06:03;1105;Санкт-Петербург;Косметика;Карта;1364;4
1194;2024-01-18 08:11;2024-01-24 05:43;1373;Екатеринбург;Одежда;СБП;1974;1
870;2024-10-23 07:07;2024-10-24 22:37;1293;Санкт-Петербург;Одежда;Карта;5863;2
601;2023-11-11 18:38;2023-11-13 11:08;1247;Санкт-Петербург;Книги;Карта;1161;1
153;2024-03-27 19:23;2024-03-30 21:08;1168;Ростов-на-Дону;Дом;Карта;3367;2
859;2024-02-04 12:27;2024-02-04 17:15;1232;Москва;Дом;Наличные;1980;1
906;2024-03-09 04:35;2024-03-11 01:48;1196;Санкт-Петербург;Спорт;СБП;3416;2
543;2023-11-08 13:19;2023-11-10 01:52;1017;Санкт-Петербург;Одежда;СБП;2322;1
203;2024-12-14 09:22;2024-12-20 11:11;1371;Новосибирск;Книги;СБП;1245;1
888;2024-06-28 19:59;2024-06-30 01:49;1262;Москва;Электроника;СБП;14207;1
1195;2023-03-25 04:26;2023-03-28 18:40;1217;Екатеринбург;Одежда;Наличные;4625;5
450;2023-07-25 21:22;2023-07-26 10:02;1371;Москва;Электроника;СБП;6645;2
171;2023-09-12 23:48;2023-09-15 14:15;1234;Нижний Новгород;Дом;Наличные;1745;1
4;2024-05-05 04:49;2024-05-07 16:22;1063;Москва;Одежда;Карта;4235;1
8;2023-09-07 05:43;2023-09-11 10:49;1166;Санкт-Петербург;Книги;Карта;786;2
1342;2023-11-29 14:09;2023-12-01 11:31;1273;Екатеринбург;Одежда;Карта;909;2
803;2024-02-28 11:18;2024-02-28 16:06;1118;Москва;Одежда;Карта;2942;4
1261;2024-08-10 07:15;2024-08-14 11:17;1091;Самара;Одежда;СБП;4585;1
205;2023-09-06 07:49;2023-09-07 21:39;1358;Санкт-Петербург;Дом;СБП;2885;1
685;2023-11-25 07:36;;1190;Москва;Косметика;Карта;1677;1
1420;2023-10-22 09:37;2023-10-22 14:25;1165;Москва;Дом;Карта;3377;3
1496;2023-09-28 06:18;;1164;Москва;Косметика;Карта;1931;1
513;2024-02-01 17:34;2024-02-02 20:09;1288;Санкт-Петербург;Электроника;Наличные;5518;1
1221;2024-04-08 23:07;2024-04-12 19:28;1142;Екатеринбург;Косметика;Карта;1549;4
728;2023-05-29 03:26;2023-06-02 17:55;1206;Екатеринбург;Косметика;Карта;1494;1
1300;2024-05-19 07:36;;1163;Новосибирск;Электроника;СБП;7173;3
347;2023-01-01 23:53;2023-01-03 19:50;1030;Москва;Дом;СБП;2095;3
180;2024-10-08 12:48;;1376;Екатеринбург;Одежда;Карта;1758;1
959;2023-04-05 04:16;2023-04-08 12:08;1223;Новосибирск;Одежда;СБП;3370;2
1103;2023-02-03 13:14;2023-02-05 16:41;1042;Санкт-Петербург;Спорт;Карта;6388;1
748;2024-09-23 15:46;2024-09-27 06:39;1391;Самара;Дом;Карта;100;1
688;2024-07-22 23:20;2024-07-27 02:00;1104;Самара;Книги;Наличные;1148;2
632;2024-01-15 07:08;2024-01-17 15:53;1146;Москва;Одежда;Карта;7832;3
1263;2024-02-08 18:09;2024-02-13 03:03;1110;Ростов-на-Дону;Дом;СБП;1423;4
1313;2023-03-08 14:48;2023-03-12 19:57;1066;Казань;Косметика;СБП;1698;1
407;2023-01-15 02:04;2023-01-18 14:10;1047;Нижний Новгород;Дом;Карта;1694;2
145;2023-04-20 17:47;2023-04-20 22:35;1289;Москва;Спорт;Карта;4594;1
899;2024-07-09 08:02;2024-07-11 01:37;1155;Москва;Одежда;Карта;3771;2
1436;2023-08-23 18:36;2023-08-29 00:03;1253;Новосибирск;Книги;СБП;539;3
760;2024-10-06 07:05;2024-10-09 16:16;1120;Санкт-Петербург;Косметика;Карта;1004;5
240;2023-07-15 06:52;2023-07-15 18:16;1097;Санкт-Петербург;Книги;Карта;1046;1
1396;2023-07-03 19:59;2023-07-06 07:58;1231;Москва;Косметика;СБП;2604;1
1255;2023-07-23 16:38;2023-07-28 22:06;1346;Екатеринбург;Одежда;Карта;3035;1
292;2024-05-25 15:26;2024-05-28 23:41;1291;Нижний Новгород;Дом;Карта;4682;2
996;2024-02-21 07:12;2024-02-22 08:36;1245;Казань;Одежда;СБП;4589;5
409;2023-08-31 21:20;2023-09-01 20:07;1291;Москва;Дом;Карта;3161;1
1363;2023-04-10 00:54;2023-04-12 19:41;1109;Нижний Новгород;Дом;СБП;3973;5
1370;2024-05-09 21:12;2024-05-10 13:59;1319;Санкт-Петербург;Спорт;СБП;8479;1
808;2023-09-10 08:57;2023-09-13 11:58;1024;Москва;Дом;Карта;100;1
568;2023-07-31 09:26;2023-08-05 12:07;1074;Новосибирск;Одежда;Карта;5185;2
54;2024-09-13 11:40;2024-09-15 22:24;1326;Нижний Новгород;Одежда;СБП;1879;2
923;2023-12-05 11:51;2023-12-07 14:53;1219;Санкт-Петербург;Дом;Карта;2952;1
1131;2023-05-28 03:19;2023-05-30 00:21;1354;Москва;Косметика;СБП;1222;1
1369;2024-09-19 14:40;2024-09-22 02:04;1294;Нижний Новгород;Одежда;СБП;4361;1
496;2024-02-05 02:36;2024-02-06 06:05;1216;Санкт-Петербург;Косметика;Наличные;1239;1
1394;2024-02-11 18:25;2024-02-16 06:01;1395;Новосибирск;Одежда;Карта;4463;1
1437;2023-06-24 00:49;2023-06-25 15:09;1242;Москва;Электроника;Карта;18574;2
822;2024-02-18 11:59;2024-02-21 03:14;1276;Москва;Одежда;Карта;2349;1
1088;2023-05-26 04:50;2023-05-29 16:40;1282;Казань;Одежда;СБП;4429;2
172;2023-02-23 20:40;2023-02-25 18:54;1278;Москва;Электроника;Карта;23236;2
170;2023-12-18 03:57;2023-12-21 14:09;1329;Новосибирск;Дом;СБП;2399;1
1464;2023-10-20 05:12;2023-10-23 05:59;1171;Самара;Электроника;Карта;17606;1
59;2023-11-18 04:23;2023-11-20 19:54;1239;Санкт-Петербург;Книги;Карта;444;3
599;2024-05-08 22:14;2024-05-11 21:53;1384;Ростов-на-Дону;Дом;СБП;1424;2
623;2024-09-25 18:59;2024-09-28 09:15;1078;Санкт-Петербург;Дом;Карта;2947;4
1422;2023-04-21 14:07;2023-04-21 22:25;1272;Москва;Электроника;СБП;15644;1
969;2024-07-27 11:20;2024-07-28 08:57;1335;Москва;Книги;СБП;988;4
451;2024-05-15 18:29;2024-05-16 06:57;1058;Москва;Косметика;СБП;2894;1
677;2023-03-06 09:44;2023-03-06 14:32;1050;Москва;Одежда;СБП;1846;1
633;2024-12-06 23:35;2024-12-08 19:30;1007;Москва;Одежда;СБП;3360;1
38;2024-06-05 02:20;2024-06-05 07:08;1079;Москва;Книги;Карта;1699;3
690;2023-10-03 08:08;2023-10-03 23:30;1330;Москва;Косметика;Карта;2752;1
1111;2023-12-05 19:39;;1142;Казань;Одежда;СБП;5391;2
909;2024-06-21 00:07;2024-06-23 08:55;1236;Москва;Электроника;СБП;9483;1
1269;2024-09-09 14:35;2024-09-10 08:52;1005;Москва;Одежда;Наличные;4867;1
319;2023-09-01 00:55;2023-09-02 17:33;1022;Санкт-Петербург;Книги;Карта;890;2
540;2023-09-18 12:56;2023-09-20 16:26;1218;Казань;Одежда;СБП;3314;3
1309;2023-03-01 04:30;2023-03-02 03:20;1371;Москва;Одежда;Карта;5615;4
527;2024-09-24 07:02;2024-09-25 20:15;1353;Москва;Книги;Карта;1091;1
375;2023-08-20 12:29;2023-08-21 01:07;1102;Москва;Дом;Карта;850;3
650;2024-12-15 14:29;2024-12-16 16:19;1352;Санкт-Петербург;Одежда;СБП;3718;1
1368;2023-05-08 18:23;;1350;Казань;Одежда;СБП;3801;1
955;2023-05-07 20:00;2023-05-08 11:19;1339;Москва;Дом;Карта;2201;4
309;2023-10-27 04:50;2023-10-29 02:05;1253;Санкт-Петербург;Одежда;СБП;3358;4
1057;2023-04-23 10:39;2023-04-27 01:08;1331;Нижний Новгород;Одежда;Карта;5770;2
497;2024-11-27 14:29;2024-11-30 12:25;1265;Самара;Электроника;Карта;11227;3
966;2023-08-11 09:19;2023-08-12 03:47;1091;Нижний Новгород;Книги;СБП;1130;1
154;2023-07-06 02:42;2023-07-09 20:19;1185;Новосибирск;Спорт;СБП;6309;2
1393;2023-10-01 10:16;2023-10-04 16:12;1060;Казань;Спорт;СБП;3171;2
1298;2024-12-29 02:30;2024-12-29 10:14;1198;Москва;Книги;Карта;605;1
628;2023-06-14 19:22;2023-06-16 08:25;1143;Казань;Косметика;Карта;1693;3
809;2023-01-27 09:42;2023-01-31 00:29;1172;Санкт-Петербург;Книги;СБП;1261;2
1081;2024-04-05 23:00;2024-04-07 03:53;1134;Москва;Косметика;Наличные;1189;3
226;2023-10-22 09:53;2023-10-25 08:03;1046;Казань;Электроника;Карта;9534;1
1206;2023-06-04 17:04;2023-06-06 07:23;1110;Казань;Спорт;Карта;4959;2
440;2023-12-22 02:22;2023-12-24 11:18;1144;Ростов-на-Дону;Дом;Карта;3370;4
865;2024-05-11 07:53;2024-05-14 07:03;1048;Нижний Новгород;Спорт;Карта;4564;2
1486;2023-10-15 02:15;;1308;Ростов-на-Дону;Книги;СБП;868;4
302;2023-03-17 10:05;2023-03-18 21:41;1244;Санкт-Петербург;Книги;СБП;1524;1
908;2024-03-01 02:16;2024-03-04 01:56;1062;Новосибирск;Электроника;СБП;20940;1
489;2024-01-11 07:02;2024-01-11 11:50;1387;Нижний Новгород;Спорт;СБП;2712;2
472;2024-07-15 08:52;2024-07-17 07:49;1090;Москва;Электроника;Карта;1609;4
726;2024-08-16 03:32;2024-08-18 07:43;1091;Москва;Косметика;Карта;3016;1
1176;2023-08-18 21:42;2023-08-21 04:37;1029;Ростов-на-Дону;Электроника;СБП;19793;3
897;2024-05-31 12:21;2024-06-02 21:41;1011;Москва;Одежда;СБП;1360;2
1474;2024-06-13 06:16;2024-06-17 16:50;1055;Самара;Одежда;СБП;1692;1
1351;2023-05-18 17:23;2023-05-22 14:10;1109;Самара;Одежда;СБП;4138;2
1098;2023-07-29 09:06;2023-07-31 21:48;1144;Казань;Дом;СБП;2890;1
625;2023-07-17 17:42;2023-07-19 12:21;1092;Москва;Дом;Карта;463;2
1343;2023-04-26 16:53;2023-05-01 03:02;1333;Ростов-на-Дону;Электроника;СБП;12049;2
174;2024-06-19 23:12;2024-06-21 04:07;1188;Санкт-Петербург;Одежда;Карта;4814;1
1360;2024-06-30 03:51;2024-07-01 01:21;1383;Москва;Электроника;Карта;6782;1
695;2024-05-15 18:19;2024-05-19 16:54;1393;Москва;Одежда;Наличные;4455;2
1481;2024-02-26 23:11;2024-02-27 16:15;1209;Москва;Спорт;Карта;5373;1
991;2024-07-21 08:13;2024-07-23 10:34;1303;Москва;Спорт;СБП;6058;3
1459;2024-04-21 18:42;2024-04-21 23:30;1291;Москва;Дом;Наличные;2096;1
1053;2023-08-07 00:59;2023-08-09 03:40;1227;Екатеринбург;Одежда;Карта;3737;2
483;2023-02-24 23:38;;1396;Новосибирск;Косметика;Карта;1480;5
392;2024-12-11 02:11;2024-12-12 19:30;1295;Москва;Косметика;Карта;1464;1
940;2023-10-02 23:51;2023-10-04 04:09;1300;Нижний Новгород;Книги;Карта;731;2
667;2023-10-31 01:55;2023-10-31 13:00;1343;Москва;Книги;СБП;878;2
931;2023-09-02 07:50;2023-09-04 02:38;1390;Санкт-Петербург;Одежда;СБП;2702;5
366;2023-08-03 17:40;2023-08-04 14:54;1216;Москва;Спорт;Карта;9826;3
1320;2023-07-11 19:09;2023-07-13 19:14;1081;Санкт-Петербург;Косметика;Карта;1417;1
1366;2023-03-29 19:09;2023-04-02 09:58;1275;Самара;Одежда;Карта;3146;2
589;2024-09-14 08:03;2024-09-18 11:37;1107;Нижний Новгород;Электроника;Карта;19133;1
829;2023-08-26 03:46;;1108;Москва;Электроника;СБП;17366;3
709;2024-01-11 14:39;2024-01-12 13:07;1083;Казань;Одежда;СБП;4810;1
117;2023-08-14 00:58;2023-08-17 04:46;1111;Самара;Дом;СБП;2083;2
230;2024-06-29 08:21;2024-07-02 02:57;1276;Ростов-на-Дону;Одежда;СБП;1616;4
239;2024-11-20 14:40;2024-11-22 23:15;1213;Москва;Книги;СБП;1213;1
762;2024-02-04 02:16;2024-02-07 15:04;1051;Нижний Новгород;Спорт;Наличные;2469;1
875;2024-11-11 16:53;2024-11-14 01:55;1232;Казань;Книги;СБП;1398;5
147;2024-05-27 13:16;2024-05-29 20:17;1046;Санкт-Петербург;Книги;Карта;1607;1
964;2024-02-17 17:17;2024-02-17 22:05;1063;Москва;Дом;СБП;2027;1
1288;2023-09-29 02:47;2023-10-02 22:53;1124;Екатеринбург;Одежда;СБП;4195;2
657;2023-08-05 22:18;2023-08-08 13:04;1316;Екатеринбург;Книги;Карта;857;1
1074;2023-06-07 19:02;2023-06-12 07:27;1248;Самара;Косметика;СБП;1995;1
1181;2024-12-24 05:18;2024-12-25 23:12;1028;Санкт-Петербург;Дом;Карта;1577;1
257;2023-01-23 19:17;2023-01-26 03:02;1123;Ростов-на-Дону;Одежда;СБП;3148;1
537;2023-04-14 05:13;2023-04-14 10:01;1184;Москва;Косметика;СБП;1862;4
1246;2023-05-26 04:02;2023-05-27 21:08;1247;Москва;Дом;Карта;2364;5
1374;2024-04-04 05:48;2024-04-10 21:24;1395;Самара;Дом;Карта;4408;1
432;2024-02-23 21:41;2024-02-27 04:01;1027;Новосибирск;Электроника;Карта;10616;1
1230;2024-12-24 09:50;2024-12-25 14:37;1034;Москва;Книги;СБП;985;5
582;2023-09-06 20:51;2023-09-11 04:29;1214;Самара;Одежда;СБП;5100;1
1493;2023-06-15 07:59;2023-06-17 06:44;1121;Москва;Электроника;СБП;12138;1
918;2024-07-29 08:29;2024-07-31 23:58;1199;Самара;Электроника;Карта;6995;1
388;2023-09-24 14:42;2023-09-28 23:29;1169;Ростов-на-Дону;Косметика;СБП;3070;1
1078;2024-10-19 10:18;2024-10-24 04:28;1175;Нижний Новгород;Одежда;СБП;3332;1
1291;2023-10-17 00:45;;1392;Ростов-на-Дону;Одежда;Карта;2131;1
361;2024-11-30 12:41;2024-12-02 04:59;1203;Москва;Электроника;Карта;11463;3
592;2024-12-25 21:18;;1320;Санкт-Петербург;Книги;СБП;613;1
1155;2023-03-19 05:11;2023-03-23 13:59;1079;Новосибирск;Одежда;СБП;4295;4
920;2024-12-28 13:26;2025-01-02 11:55;1307;Ростов-на-Дону;Электроника;Карта;13441;5
3;2024-10-16 04:59;2024-10-18 19:59;1390;Казань;Спорт;Карта;2470;3
680;2023-07-21 21:15;2023-07-22 19:01;1036;Нижний Новгород;Одежда;СБП;1439;1
454;2023-05-26 16:49;2023-05-26 21:45;1078;Москва;Электроника;Карта;17831;1
1252;2024-12-12 18:14;2024-12-12 23:02;1375;Санкт-Петербург;Книги;СБП;671;1
242;2023-11-13 01:16;;1097;Санкт-Петербург;Косметика;Карта;679;5
338;2024-09-13 08:59;2024-09-17 00:26;1125;Москва;Книги;Карта;745;1
243;2023-06-20 20:29;2023-06-23 02:09;1164;Екатеринбург;Спорт;Наличные;3454;1
453;2024-02-28 07:02;2024-03-02 16:14;1120;Новосибирск;Книги;Карта;726;2
780;2024-01-14 23:29;2024-01-15 04:17;1287;Москва;Одежда;Карта;3820;4
324;2023-12-20 06:55;2023-12-21 00:06;1125;Санкт-Петербург;Одежда;Карта;3640;4
1197;2023-05-05 13:43;2023-05-08 22:13;1128;Ростов-на-Дону;Спорт;Карта;3993;1
532;2023-08-22 12:24;2023-08-25 10:15;1194;Москва;Книги;Карта;1302;1
792;2024-11-26 13:43;2024-11-28 15:12;1282;Москва;Косметика;СБП;1635;1
572;2024-06-28 14:49;2024-06-30 13:17;1138;Москва;Одежда;Карта;4053;1
862;2024-10-15 16:50;2024-10-15 21:38;1353;Москва;Одежда;Карта;5486;5
1307;2023-02-23 07:41;2023-02-24 16:25;1140;Санкт-Петербург;Одежда;Карта;2740;1
810;2024-09-19 03:16;2024-09-20 15:54;1394;Москва;Книги;СБП;100;3
279;2023-06-17 14:31;2023-06-17 19:19;1282;Москва;Книги;Карта;1185;2
1104;2023-07-04 08:18;2023-07-05 00:00;1253;Москва;Одежда;Наличные;3650;1
551;2024-07-26 04:14;2024-07-30 08:39;1172;Ростов-на-Дону;Спорт;СБП;6295;3
521;2024-09-30 11:46;2024-10-04 04:17;1190;Новосибирск;Книги;Карта;1089;1
18;2023-08-29 11:36;2023-08-30 13:58;1159;Москва;Косметика;Карта;2373;1
20;2023-12-02 03:05;;1016;Казань;Электроника;СБП;16484;1
183;2024-05-20 23:23;2024-05-25 00:08;1089;Новосибирск;Одежда;Карта;3452;1
155;2023-01-27 13:12;2023-01-29 03:30;1039;Санкт-Петербург;Книги;Карта;566;4
1442;2023-11-15 00:43;2023-11-19 02:28;1395;Ростов-на-Дону;Электроника;СБП;18450;1
1061;2023-05-16 17:57;2023-05-21 10:22;1371;Ростов-на-Дону;Электроника;Карта;10981;1
896;2023-02-13 20:12;;1337;Санкт-Петербург;Одежда;Карта;4297;4
1348;2024-10-26 11:14;2024-10-31 15:33;1145;Ростов-на-Дону;Книги;Карта;826;1
1499;2023-06-30 14:28;2023-07-05 23:51;1303;Новосибирск;Электроника;Карта;8499;1
267;2024-10-28 19:25;2024-10-30 08:47;1171;Москва;Книги;Наличные;520;1
1152;2024-06-27 09:10;2024-06-30 12:30;1003;Москва;Одежда;СБП;2822;1
874;2023-03-21 12:39;2023-03-22 01:23;1355;Санкт-Петербург;Книги;Карта;926;4
861;2023-06-27 06:20;2023-06-29 06:40;1215;Новосибирск;Одежда;Карта;3676;1
1000;2024-05-29 12:26;;1347;Ростов-на-Дону;Одежда;Карта;4085;1
1411;2023-12-20 12:31;2023-12-24 03:52;1310;Казань;Книги;Карта;951;1
414;2023-08-17 13:00;2023-08-18 13:54;1142;Санкт-Петербург;Одежда;Карта;1874;1
1383;2023-09-22 11:53;2023-09-24 03:31;1135;Санкт-Петербург;Косметика;СБП;2264;1
995;2024-08-15 00:43;2024-08-20 08:04;1043;Екатеринбург;Спорт;СБП;8215;1
1124;2023-10-31 21:14;2023-11-07 13:03;1258;Екатеринбург;Спорт;Карта;2636;2
873;2024-11-14 19:02;;1259;Москва;Книги;Карта;1430;2
1323;2023-09-16 16:30;;1297;Санкт-Петербург;Электроника;СБП;12593;2
528;2024-11-23 03:54;2024-11-27 05:38;1388;Новосибирск;Книги;СБП;906;1
96;2024-12-06 08:57;2024-12-08 03:58;1292;Санкт-Петербург;Одежда;Карта;2229;1
1390;2024-04-23 14:18;2024-04-27 17:14;1167;Новосибирск;Одежда;СБП;100;1
1330;2024-01-14 16:40;2024-01-16 21:52;1371;Нижний Новгород;Одежда;СБП;3063;2
1281;2023-07-13 07:25;2023-07-13 12:13;1139;Москва;Одежда;Карта;2442;1
1334;2024-10-29 08:43;2024-10-30 21:04;1358;Самара;Одежда;Карта;4732;1
362;2024-11-16 20:42;2024-11-18 03:39;1228;Санкт-Петербург;Дом;Карта;1762;4
1279;2023-05-12 21:21;;1326;Москва;Электроника;Карта;11294;1
1129;2024-07-11 02:07;2024-07-16 12:18;1221;Новосибирск;Одежда;Карта;1850;2
547;2023-11-13 15:59;2023-11-20 03:37;1048;Новосибирск;Дом;СБП;3544;2
1403;2023-07-29 09:52;2023-07-30 08:42;1214;Санкт-Петербург;Книги;Наличные;1173;5
1494;2023-05-08 06:23;2023-05-08 11:52;1320;Нижний Новгород;Электроника;Карта;15540;2
1107;2024-01-31 15:41;2024-02-03 11:02;1032;Екатеринбург;Дом;СБП;2689;1
48;2023-01-01 14:11;2023-01-01 18:59;1261;Москва;Книги;СБП;1361;2
82;2024-11-15 08:37;2024-11-15 13:25;1320;Москва;Книги;СБП;1241;2
713;2024-06-11 23:05;2024-06-13 06:42;1174;Москва;Одежда;СБП;5306;1
729;2023-06-28 18:50;2023-06-28 23:38;1329;Москва;Одежда;Карта;3737;2
1397;2024-09-27 05:02;2024-09-30 01:47;1261;Казань;Косметика;Наличные;2237;3
187;2023-07-06 21:37;2023-07-07 02:25;1028;Нижний Новгород;Спорт;СБП;5433;1
342;2024-02-14 03:18;;1336;Москва;Косметика;Карта;2092;5
19;2024-08-04 01:47;2024-08-07 17:55;1301;Ростов-на-Дону;Дом;Карта;1702;2
797;2023-06-19 22:12;2023-06-21 01:19;1155;Москва;Дом;Карта;4292;1
272;2024-12-28 03:54;2024-12-28 10:11;1306;Москва;Книги;Карта;207;1
265;2023-12-20 12:27;2023-12-23 02:02;1222;Казань;Книги;Карта;268;1
438;2023-08-21 02:24;2023-08-22 00:59;1111;Санкт-Петербург;Одежда;Карта;4439;1
1485;2024-06-22 19:19;2024-06-26 03:01;1342;Москва;Электроника;Карта;7758;1
1228;2023-02-25 20:40;2023-02-26 01:28;1018;Санкт-Петербург;Косметика;СБП;719;1
1193;2024-09-19 19:30;2024-09-20 00:18;1172;Санкт-Петербург;Дом;Карта;2730;4
1172;2023-05-21 02:38;;1094;Москва;Спорт;СБП;3198;2
1407;2024-05-12 03:59;2024-05-13 18:47;1086;Нижний Новгород;Косметика;Карта;2985;3
